136,无法登录 错误码 6c71e837-ada7-48ac-9bde-60280c499f11 提示：访问被拒绝 您不再拥有此服务的访问权限
137,其实只要连续多点几次google登陆（不用在乎屏幕有没有变暗）就有概率可以卡进去
138,兄弟们，地区千万不要选中国，不然会禁止你使用的
139,好是好，不过好像中国区账户都被封了，不能登录
140,其他都可以的 就是不让登录很烦(⊙o⊙)
141,非常好！很可惜不能编辑。
142,阅读文档的时候状态栏是黑的 很难看！
143,在国内使用时不能登录，会报错。
144,很不好用啊，我选择WPS。
145,垃圾软件，木马病毒专业用
146,很好用的手机软件，值得推荐好评满分。
147,这个版本打不开啊。东西是不错。😂
148,可看不可编辑，2分
149,功能齐全，放大功能在手机上不太方便
150,会出现闪退的情况，不闪退时使用很流畅
151,如果可以更简易操作会更好。
152,弹窗让登陆，每次都要手动关，很烦
153,国内有个叫福昕阅读的，用过adobe直接就把福昕删了，果然大多国产app没有国家保护就是坨那东西。
154,非常方便感觉adobe 应该推出一款扫一下内容都跑到手机里的软件。
155,无法登录，显示登录错误，怒而卸载
156,不停的崩溃
157,太可靠了
158,挺不错的，解决了pdf看书的问题。
159,挺好用的，最官方的pdf阅读器
160,登录了不能用，没有以前的版本好用
161,不让登录不让使用，那你上架干嘛啊。果断差评。
162,帐号是中国大陆的就不能用？
163,很好,希望以後會跟好.
164,在对于文档的保存和使用很方便
165,非常好的软件！经常使用！
166,支持caj吗？
167,只要没广告 就能长期使用。
168,为什么卡在启动界面了……怎么都进不去
169,真的是最好的pdf软件，太好用了
170,非常好用。专业的就是不同。
171,有些东西显示不出来。。
172,Adobe还是比那些乱七八糟的好用多了
173,腾讯，百度等渣网一直利用中国电信网路弹窗流氓广告插件干扰数据传输更新。
174,更新后无法启动
175,没广告打扰。
176,这应用优化太差了吧，总是卡
177,非常好的应用。
178,每次打开都得登录且登录了也不能用
179,很好用特别好用，一直都是在用
180,不错，希望高级功能便宜点就好！
181,妙哉，随时随地可以获取信息
182,速度快，操作很順手
183,很好用，显示效果好
184,还可以，就是文件太大了
185,很好用，界面简洁。
186,不能登陆，最近使用不了了
187,很好，只是安卓版没有转换功能
188,云服务还有改进空间！
189,居然可以直接做笔记，好评！
190,为什么登录被拒绝呢，PC端也是
191,没有想的好用，分享起来很麻烦
192,一些功能隐藏太深
193,挺不错的，简洁方便
194,可以用了
195,世界范围内正式文件的标准
196,很好用，不错。👍👍👍
197,非常好用，很方便
198,免费、可靠、冇广告！
199,访问受限 都无法登陆 根本打不开
200,pdf渲染效果最好的软件
201,支持Dropbox同步，很不错的功能
202,一直使用adobe reader,非常不错。
203,不得不说这个app实在太好用了
204,方便易用。。。
205,用了好多年了
206,方便实用，界面美观
207,好用挺好用的，没啥问题
208,一直用，非常好用
209,拒绝给我服务，不知为何
210,办公必备，不错的应用。
211,不能登入，无法使用
212,无法登陆使用，看不见有X
213,中文批注显示异常！！！
214,极差，无法登录使用
215,辣鸡，一点不人性化
216,挺好的，非常好用
217,总是登录不上，不好使
218,整体还不错对于PDF用的很少
219,挺好的，很好用
220,一个字…好
221,如果没有广告更好
222,特别好用的一款软件
223,我最喜欢用的软件
224,经常打不开
225,很好用的!
226,一回复待一天
227,直接打印几乎不支持
228,用起来很流畅，支持
229,界面友好，简洁
230,简单明了！
231,这个版本没法应用默认打开
232,手机，电脑都用这款
233,很好用，推荐
234,要放图片都不能，
235,根本用不了，登陆还拒绝访问
236,应用还不错，
237,很好用，谢谢
238,要说PDF还是Adobe最棒，没有之一
239,加载文字太慢了，垃圾
240,每次登陆云都要重输密码
241,很好用的产品
242,不登录不能用！
243,希望越来越好
244,非常好用的办公程序
245,超乎想象，非常棒
246,搜索本地文件变慢了
247,挺好用的，比WPS好多了
248,大文档打开没问题
249,好好用的软件
250,就是好用。。
251,华为mate20pro 突然就打不开了
252,什么都收费，贵
253,怎么没有办法登录
